"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_940000","94.00.00","Недостачи и потери от порчи имущества","expense","False","",""
"by_950000","95.00.00","Страховые резервы","asset_current","False","",""
"by_950100","95.01.00","Резерв по страхованию жизни","asset_current","False","",""
"by_950200","95.02.00","Результат изменения резерва по страхованию","asset_current","False","",""
"by_950300","95.03.00","Резерв незаработанной премии","asset_current","False","",""
"by_950400","95.04.00","Доля перестраховщиков","asset_current","False","",""
"by_950500","95.05.00","Результат изменения резерва незаработанной премии","asset_current","False","",""
"by_950600","95.06.00","Резерв заявленных неурегулированных убытков","asset_current","False","",""
"by_950700","95.07.00","Доля перестраховщиков в резерве заявленных, но неурегулированных убытков","asset_current","False","",""
"by_950800","95.08.00","Результат изменения резерва заявленных, но неурегулированных убытков","asset_current","False","",""
"by_950900","95.09.00","Резерв произошедших, но незаявленных убытков","asset_current","False","",""
"by_951000","95.10.00","Доля перестраховщиков в резерве произошедших, но незаявленных убытков","asset_current","False","",""
"by_951100","95.11.00","Результат изменения резерва произошедших, но незаявленных  убытков","expense","False","",""
"by_960000","96.00.00","Резервы предстоящих платежей","asset_current","False","",""
"by_970000","97.00.00","Расходы будущих периодов","expense","False","",""
"by_970100","97.01.00","Прочие расходы будущих периодов","expense","False","",""
"by_970200","97.02.00","Расходы на оплату труда будущих периодов","expense","False","",""
"by_970300","97.03.00","НДС 60 дней","asset_current","False","",""
"by_970400","97.04.00","Расходы по покупке валюты","asset_current","False","",""
"by_970401","97.04.01","Доходы от купли-продажи валюты","asset_current","False","",""
"by_970402","97.04.02","Расходы от купли-продажи валюты","asset_current","False","",""
"by_970500","97.05.00","Курсовые разницы","asset_current","False","",""
"by_970501","97.05.01","По сырью, материалам, товарам, работам, услугам","asset_current","False","",""
"by_970506","97.05.06","По прочей кредиторской задолженности","asset_current","False","",""
"by_980000","98.00.00","Доходы будущих периодов","asset_current","False","",""
"by_980100","98.01.00","Доходы, полученные в счет будущих периодов","asset_current","False","",""
"by_980200","98.02.00","Безвозмездные поступления","income","False","",""
"by_980300","98.03.00","Предстоящие поступления по недостачам, выявленным за прошлые годы","asset_current","False","",""
"by_980400","98.04.00","Разница между суммой, подлежащей взысканию с виновных лиц, и балансовой стоимостью по недостачам ценностей","asset_current","False","",""
"by_980500","98.05.00","Курсовая разница в доходах будущих периодов","asset_current","False","",""
"by_980600","98.06.00","Целевое финансирование","asset_current","False","",""
"by_990000","99.00.00","Прибыли и убытки","asset_current","False","",""
"by_990100","99.01.00","Прибыли и убытки","asset_current","False","",""
"by_000000","0000.00","Вспомогательный счет","off_balance","False","",""
"by_000100","0001.00","Арендованные основные средства","off_balance","False","",""
"by_000200","0002.00","Имущество, принятое на ответственное хранение","off_balance","False","",""
"by_000210","0002.01","Материалы, принятые на ответственное хранение","off_balance","False","",""
"by_000220","0002.02","Товары, принятые на ответственное хранение","off_balance","False","",""
